subject,trial,movement,data_leg,variable,net,positive,negative
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,wrist_flex_moment,0.314184538,0.314184538,0
FAILTCRT01,FAILTCRT01_SDP02,sdp,nonpivot,wrist_dev_moment,-0.366268503,0,-0.366268503
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,hip_flexion_moment,-9.245779876,23.90458362,-33.15036349
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,hip_adduction_moment,-43.33500726,3.459082554,-46.79408981
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,hip_rotation_moment,-0.663873531,1.90492224,-2.568795771
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,lumbar_extension_moment,57.41312088,58.28166217,-0.868541292
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,lumbar_bending_moment,11.31656726,16.46189543,-5.145328173
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,lumbar_rotation_moment,1.953744442,7.958849169,-6.005104727
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,knee_angle_moment,14.5822724,19.98581827,-5.403545874
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,arm_flex_moment,3.836060478,4.001476822,-0.165416343
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,arm_add_moment,11.86780526,11.86780526,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,arm_rot_moment,-0.936974101,0.126418222,-1.063392323
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,ankle_angle_moment,-11.21452433,1.472694989,-12.68721932
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,elbow_flex_moment,5.883916375,5.883916375,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,subtalar_angle_moment,6.489634636,7.236935703,-0.747301068
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,pro_sup_moment,-0.011531638,0.00927161,-0.020803248
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,mtp_angle_moment,-0.096288634,0,-0.096288634
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,wrist_flex_moment,0.444183188,0.444183188,0
FAILTCRT01,FAILTCRT01_SDP03,sdp,pivot,wrist_dev_moment,-0.427076328,0,-0.427076328
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,hip_flexion_moment,-35.14306288,13.1397804,-48.28284328
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,hip_adduction_moment,-73.19686479,5.134462119,-78.33132691
FAILTCRT01,FAILTCRT01_SDP03,sdp,nonpivot,hip_rotation_moment,13.36937745,17.9974765,-4.628099054
